
Horas_Jogadas,Avaliacao_Usuarios,Jogadores_Online,Popularidade,Genero_Jogo,Preco_Jogo,Avaliacao_Critica,Vendas_Totais
38.08,4.36,36769,49.74,RPG,73.89,6.68,78008
95.12,4.00,10041,42.72,Estratégia,21.01,5.31,56371
73.47,2.59,17985,42.98,RPG,25.84,8.00,46140
60.27,6.47,33500,55.54,Aventura,94.69,10.00,58061
16.45,5.29,24622,31.86,Aventura,32.80,6.76,31434
87.28,3.04,28407,23.2,RPG,53.13,0.47,89618
47.84,5.03,2788,4.32,Estratégia,83.43,4.31,50158
81.57,0.32,34561,80.01,Estratégia,33.12,5.96,31960
25.35,0.91,9680,25.83,RPG,88.98,4.3,2607
68.6,4.77,49965,80.42,Estratégia,66.98,4.51,93773
46.13,9.38,34246,30.85,Estratégia,10.18,2.99,88963
27.08,2.31,13190,46.45,Estratégia,10.15,1.84,48133
17.72,0.3,26485,27.4,Aventura,53.92,0.22,97036
81.19,3.65,43677,74.63,Aventura,74.52,8.9,68068
85.25,1.17,39757,58.34,RPG,88.67,0.21,40962
94.69,8.06,17951,21.2,RPG,11.97,4.02,71958
59.25,4.41,40387,35.34,RPG,15.5,5.48,97588
0.04,9.2,37693,82.41,Estratégia,62.8,9.34,64297
20.62,6.59,45560,73.41,Aventura,21.2,5.29,13323
94.46,2.51,31450,51.42,Aventura,48.19,9.56,28413
55.18,3.06,29714,64.21,Aventura,18.65,4.15,87655
20.84,6.84,45108,84.11,RPG,80.04,4.22,30320
45.59,6.15,15360,55.73,RPG,86.58,5.52,25175
36.24,0.88,3313,2.17,Estratégia,5.5,1.01,70153
5.63,4.33,47693,97.86,RPG,19.59,2.68,4535
29.14,9.12,48114,66.58,Estratégia,46.13,1.55,46236
74.55,9.17,19961,72.94,RPG,38.08,0.16,19603
68.38,4.19,44778,59.04,Estratégia,0.1,7.42,98409
88.64,6.87,46747,58.55,RPG,17.92,8.37,2174
32.73,2.59,5862,41.53,Aventura,81.32,8.84,29490
36.77,6.98,42208,89.75,Aventura,3.12,4.25,45475
